"Object property name (compact URI)","Label in English (rdfs:label [en])","Label in French (rdfs:label [fr])","Label in Spanish (rdfs:label [es])","Description (rdfs:comment)","Scope note (skos:scopeNote)","Corresponding component in RiC-CM (rico:RiCCMCorrespondingComponent)","Subproperty of (rdfs:subPropertyOf)","Domain (rdfs:domain)","Range (rdsf:range)","Inverse of (owl:inverseOf)","Type (rdf:type)","Property chain axiom (owl:propertyChainAxiom)","Changes since RiC-O 0.2 (skos:changeNote)"
"rico:isOriginalOf","is original of","est l’original de","es original de","Connects the original version of a Record to a copy or a later version.","There may be zero to many intermediate Records, ignored or unknown, between the two connected Records","RiC-R010 (is original of relation)","hasGeneticLinkToRecordResource; precedesInTime","Record ; RecordPart","Record ; RecordPart","hasOriginal",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isPartOfTransitive","is part of transitive","est une partie de transitif","es parte de transitivo","Connects a Thing to a Thing of which it is a a constitutive or component part, directly or indirectly. This is a transitive relation.","To be used, either to infer, then query or browse, relations from existing direct 'isDirectPartOf' relations between things, or to record a current partitive relation when you do not know if there are intermediate nodes between the related things.",,"isOrWasPartOf","Thing","Thing","hasPartTransitive","TransitiveProperty",,"2023-07-12 : Object property added, along with its inverse property, in order to enable to express current partitive relations between things (the past partitive relation also being added). | 2023-11-13 : Added a French label. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:isPlaceAssociatedWith","is place associated with","est un lieu associé à","es lugar asociado con","Connects a Place to a Thing with whose existence and lifecycle the Place is associated.","Use to connect a Place to an entity only if it is not possible to specify a narrower spatial relation, for example, is or was location of.","RiC-R074 ('is place associated with' relation)","isRelatedTo","Place","Thing","isAssociatedWithPlace",,"thingIsSourceOfRelation/placeRelation_role/relationHasTarget","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new placeRelation_role object property. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote."
"rico:isPlaceAssociatedWithAgent","is place associated with agent","est un lieu associé à l'agent","es lugar asociado con agente","Connects a Place to an Agent which is related to that Place.",,,"isPlaceAssociatedWith","Place","Agent","isAgentAssociatedWithPlace",,,"2023-10-19 : Added for RiC-O v1.0. | 2023-10-26 : fixed the domain and range, added a rdfs:comment and English and French labels. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:isProductionTechniqueTypeOf","is production technique type of","est le type de technique de production de","es tipo de técnica de producción de","Connects a Production Technique Type to an Instantiation whose production technique is categorized by it.",,,"isOrWasCategoryOf","ProductionTechniqueType","Instantiation","hasProductionTechniqueType",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isPublicationDateOf","is publication date of","est la date de publication de","es fecha de publicación de","Connects a Date to a Record Resource that was made public at this Date.",,,"isBeginningDateOf","Date","RecordResource","hasPublicationDate",,,"2023-09-22 : Added in RiC-O 1.0. | 2023-10-12 : Added the French label | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:isPublisherOf","is publisher of","est l’éditeur de","es editor(a) de","Connects an Agent to a Record Resource that it published.",,,"isRelatedTo","Agent","RecordResource","hasPublisher",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isReceiverOf","is receiver of","reçoit","es receptor(a) de","Inverse of 'received by' object property.",,"RiC-R029i ('is receiver of' relation)","isAccumulatorOf","Agent","Instantiation ; RecordResource","hasReceiver",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isRecordResourceAssociatedWithRecordResource","is record resource associated with record resource","est une ressource archivistique associée avec la ressource archivistique","es recurso documental asociado con","Connects two Record Resources. This relation is symmetric.","Use to connect two Record Resources only if it is not possible to use a narrower, more specific relation, for example has genetic link to.","RiC-R022 ('is record resource associated with record resource' relation)","isRelatedTo","RecordResource","RecordResource",,"SymmetricProperty","thingIsConnectedToRelation/recordResourceToRecordResourceRelation_role/relationConnects","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new recordResourceToRecordResourceRelation_role object property. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote. | 2023-11-25 : Fixed the French label."
"rico:isRecordSetTypeOf","is record set type of","est le type d’ensemble d’objets informationnels de","es tipo de agrupación documental de","Connects a Record Set Type to a Record Set that it categorizes.",,,"isOrWasCategoryOf","RecordSetType","RecordSet","hasRecordSetType",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isRecordStateOf","is record state of","est l’état de","es estado de documento de","Connects a Record State to a Record or Record Part whose state it categorizes.",,,"isOrWasCategoryOf","RecordState","Record ; RecordPart","hasRecordState",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isRelatedTo","is related to","est relié à","está relacionado con","The most generic relation, is related to, connects any Thing to any other Thing. This relation is symmetric.",,"RiC-R001 (is related to relation)",,"Thing","Thing",,"SymmetricProperty","thingIsConnectedToRelation/relation_role/relationConnects","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : Added the chain property axiom in order to make this property a shortcut. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment)."
"rico:isReplyTo","is reply to","est une réponse à","es contestación de","Inverse of 'has reply' object property.",,"RiC-R013i ('is reply to' relation)","followsInTime; isRecordResourceAssociatedWithRecordResource","RecordResource","RecordResource","hasReply",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isRepresentationTypeOf","is representation type of","est le type de représentation de","es tipo de grabación de","Connects a Representation Type to an Instantiation that it categorizes.",,,"isOrWasCategoryOf","RepresentationType","Instantiation","hasRepresentationType",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isResponsibleForIssuing","is responsible for issuing","est chargé de rendre publique","es responsable de emisión de","Inverse of 'issued by' object property.",,"RiC-R065i ('is responsible for issuing' relation)","isAssociatedWithRule","Agent","Rule","issuedBy",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isRuleAssociatedWith","is rule associated with","est une règle associée à","es regla asociada con","Connects a Rule to a Thing that is associated with the Rule.","Use only if it is not possible to specify a narrower Rule relation, for example, regulates or regulated.","RiC-R062 ('is rule associated with' relation)","isRelatedTo","Rule","Thing","isAssociatedWithRule",,"thingIsSourceOfRelation/ruleRelation_role/relationHasTarget","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new ruleRelation_role object property. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote."
"rico:isSenderOf","is sender of","est l’expéditeur de","es remitente de","Inverse of 'has sender' object property.",,"RiC-R031i ('is sender of' relation)","isOrganicProvenanceOf","Agent","Instantiation ; RecordResource","hasSender",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isSubdivisionOfTransitive","is subdivision of transitive","est une subdivision de transitif","es subdivisión de transitivo","Connects a Group to the Group it is a direct or indirect subdivision of. This is a transitive relation.",,,"isOrWasSubdivisionOf; isPartOfTransitive; isSubordinateToTransitive","Group","Group","hasSubdivisionTransitive","TransitiveProperty",,"2023-09-08 : Object property added, along with its inverse property, in order to enable to express current partitive relations between groups (the past partitive relation also being added). | 2023-11-12 : Updated the labels. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:isSubeventOfTransitive","is subevent of transitive","est un événement constituant de transitif","es elemento constitutivo de transitivo","Connects an ongoing Event to an Event of which it is a direct or indirect part. This is a transitive relation.",,,"isOrWasSubeventOf; isPartOfTransitive","Event","Event","hasSubeventTransitive","TransitiveProperty",,"2023-09-08 : Object property added, along with its inverse property, in order to enable to express partitive relations between ongoing events (the past partitive relation also being added). | 2023-11-12 : Updated the labels. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:isSubordinateToTransitive","is subordinate to transitive","est subalterne de transitif","está subordinado(a) a transitivo","Connects an Agent to an Agent that is directly or indirectly hierarchically superior. This is a transitive relation.",,,"isOrWasSubordinateTo","Agent","Agent","hasSubordinateTransitive","TransitiveProperty",,"2023-09-08 : Object property added, along with its inverse property, in order to enable to express current subordination relations between agents (the past subordination relation also being added). | 2023-11-12 : Updated the labels. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:isSuccessorOf","is successor of","est le successeur de","es sucesor(a) de","Inverse of 'has successor' object property.",,"RiC-R016i ('is successor of' relation)","followsInTime; isAgentAssociatedWithAgent","Agent","Agent","hasSuccessor",,"thingIsTargetOfRelation/agentTemporalRelation_role/relationHasSource","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new agentTemporalRelation_role object property."
"rico:isToUseDateOf","is to use date of","est la date jusqu’à laquelle est utilisé","es fecha hasta la que se usa","Connects a Date to an Appellation, when it is the date till which the Appellation was used.",,,"isEndDateOf","Date","Appellation","wasUsedToDate",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-10-19 : Made this property a subPropertyOf isEndDateOf. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isUnitOfMeasurementOf","is unit of measurement of","est l’unité de mesure de","es unidad de medida de","Inverse of 'has unit of measurement' object property",,,"isRelatedTo","UnitOfMeasurement","Extent","hasUnitOfMeasurement",,,"2023-08-28 : Added a new rdfs:label in French; added an xml:lang attribute to the rdfs:comment. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:isWithin","is within","est contenu dans","está dentro","Connects a Date to a Date in which it is contained.",,"RiC-R085 ('is within' relation)","isAssociatedWithDate; isDateAssociatedWith; isOrWasPartOf","Date","Date","hasWithin",,,"2023-10-12 : Added the property | 2023-10-13 : made this property a subproperty of both isDateAssociatedWith and isAssociatedWithdate, and of isOrWasPartOf. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:issuedBy","issued by","rendue publique par","emitido por","Connects a Rule to the Agent that issued or published the Rule.",,"RiC-R065 ('issued by' relation)","isRuleAssociatedWith","Rule","Agent","isResponsibleForIssuing",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:knowingOfRelation_role","has the role of the Knowing Of Relation","a le rôle de la Relation de connaissance à propos d’une personne","desempeña el papel de la Relación de conocimieto indirecto entre personas","Connects a KnowingOfRelation to itself. It is a reflexive property, that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the KnowingOfRelation class. It should be used only when you have to manage instances of the KnowingOfRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.",,"agentToAgentRelation_role","KnowingOfRelation","KnowingOfRelation",,"ReflexiveProperty",,"2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the KnowingOfRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies)."
"rico:knowingRelation_role","has the role of the Knowing Relation","a le rôle de la Relation de connaissance entre personnes","desempeña el papel de la Relación de conocimiento directo entre personas","Connects a KnowingRelation to itself. It is a reflexive property, that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the KnowingRelation class. It should be used only when you have to manage instances of the KnowingRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.",,"agentToAgentRelation_role","KnowingRelation","KnowingRelation",,"ReflexiveProperty",,"2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the KnowingRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies)."
"rico:knownBy","known by","est connue par","conocido por","Inverse of 'knows of' object property.",,"RiC-R050i ('known by' relation)","isAgentAssociatedWithAgent","Person","Person","knowsOf",,"thingIsTargetOfRelation/knowingOfRelation_role/relationHasSource","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new knowingOfRelation_role object property."
"rico:knows","knows","connaît","conoce a","Connects two Persons that directly know each other during their existence. This relation is symmetric.","The relation implies that the two Persons met or at least corresponded with each other.","RiC-R051 ('knows' relation)","isAgentAssociatedWithAgent","Person","Person",,"SymmetricProperty","thingIsConnectedToRelation/knowingRelation_role/relationConnects","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new knowingRelation_role object property. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment), skos:scopeNote."
"rico:knowsOf","knows of","a connaissance de la personne","conoce indirectamente a","Connects a Person to another Person they have some knowledge of through time or space.",,"RiC-R050 ('knows of' relation)","isAgentAssociatedWithAgent","Person","Person","knownBy",,"thingIsSourceOfRelation/knowingOfRelation_role/relationHasTarget","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new knowingOfRelation_role object property."
"rico:leadershipRelation_role","has the role of the Leadership Relation","a le rôle de la Relation de direction","desempeña el papel de la Relación de liderazgo","Connects a LeadershipRelation to itself. It is a reflexive property, that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the LeadershipRelation class. It should be used only when you have to manage instances of the LeadershipRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.",,"agentControlRelation_role","LeadershipRelation","LeadershipRelation",,"ReflexiveProperty",,"2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the LeadershipRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies)."
"rico:leadershipWithPosition","leadership with position","relation de direction dans le cadre du poste","liderazgo en puesto","Connects a Leadership Relation to the Position occupied by the leading Person.",,,"relationHasContext","LeadershipRelation","Position","positionIsContextOfLeadershipRelation",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:managementRelation_role","has the role of the Management Relation","a le rôle de la Relation de gestion","desempeña el papel de la Relación de gestión","Connects a ManagementRelation to itself. It is a reflexive property, that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the ManagementRelation class. It should be used only when you have to manage instances of the ManagementRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.",,"authorityRelation_role","ManagementRelation","ManagementRelation",,"ReflexiveProperty",,"2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the ManagementRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies)."
"rico:mandateRelation_role","has the role of the Mandate Relation","a le rôle de la Relation impliquant un mandat","desempeña el papel de la Relación normativa","Connects a MandateRelation to itself. It is a reflexive property, that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the MandateRelation class. It should be used only when you have to manage instances of the MandateRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.",,"ruleRelation_role","MandateRelation","MandateRelation",,"ReflexiveProperty",,"2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the MandateRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies)."
"rico:membershipRelation_role","has the role of the Membership Relation","a le rôle de la Relation d’appartenance","desempeña el papel de la Relación de membresía","Connects a MembershipRelation to itself. It is a reflexive property, that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the MembershipRelation class. It should be used only when you have to manage instances of the MembershipRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.",,"agentToAgentRelation_role","MembershipRelation","MembershipRelation",,"ReflexiveProperty",,"2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the MembershipRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies)."
"rico:membershipWithPosition","membership with position","relation d’appartenance dans le cadre du poste","membresía en puesto","Connects a Membership Relation to the Position occupied by the member Person(s).",,,"relationHasContext","MembershipRelation","Position","positionIsContextOfMembershipRelation",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:migratedFrom","migrated from","a été produite par migration de","migrado desde","Inverse of 'migrated into' object property.",,"RiC-R015i ('migrated from' relation)","isOrWasDerivedFromInstantiation","Instantiation","Instantiation","migratedInto",,"thingIsTargetOfRelation/migrationRelation_role/relationHasSource","2023-08-28 : Added a new rdfs:label in French. | 2023-08-29 : Updated subpropertyOf; this in order to make the specification compliant with RiC-CM 1.0. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new migrationRelation_role object property."
"rico:migratedInto","migrated into","a été migrée vers","migrado a","Connects an Instantiation to a version it has been migrated into.","Use for digital instantiations.","RiC-R015 ('migrated into' relation)","hasOrHadDerivedInstantiation","Instantiation","Instantiation","migratedFrom",,"thingIsSourceOfRelation/migrationRelation_role/relationHasTarget","2023-08-28 : Added a new rdfs:label in French. | 2023-08-29 : Updated subpropertyOf; this in order to make the specification compliant with RiC-CM 1.0. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new migrationRelation_role object property. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment)."
"rico:migrationRelation_role","has the role of the Migration Relation","a le rôle de la Relation de migration","desempeña el papel de la Relación de migración entre instanciaciones","Connects a MigrationRelation to itself. It is a reflexive property, that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the MigrationRelation class. It should be used only when you have to manage instances of the MigrationRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.",,"derivationRelation_role","MigrationRelation","MigrationRelation",,"ReflexiveProperty",,"2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the MigrationRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies)."
"rico:occupiesOrOccupied","occupies or occupied","occupe ou a occupé","ocupa u ocupaba","Connects a Person to a Position they occupy or occupied.",,"RiC-R054 ('occupies or occupied' relation)","isAgentAssociatedWithAgent","Person","Position","isOrWasOccupiedBy",,"thingIsSourceOfRelation/positionHoldingRelation_role/relationHasTarget","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new positionHoldingRelation_role object property."
"rico:occurredAtDate","occurred at date","a pour date d'occurrence","tiene como fecha de ocurrencia","Inverse of 'is date of occurrence of' object property",,"RiC-R084i ('occurred at date' relation)","isAssociatedWithDate; isEventAssociatedWith","Event","Date","isDateOfOccurrenceOf",,,"2023-10-13 : Renamed the property to correct a spelling mistake. Also corrected the annotations when necessary. | 2023-10-17 : Made this property a subproperty of isEventAssociatedWith | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:organicOrFunctionalProvenanceRelation_role","has the role of the Organic or functional provenance Relation","a le rôle de la Relation de provenance organique ou fonctionnelle","desempeña el papel de la Relación de procedencia orgánica or funcional","Connects a OrganicOrFunctionalProvenanceRelation to itself. It is a reflexive property, that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the OrganicOrFunctionalProvenanceRelation class. It should be used only when you have to manage instances of the OrganicOrFunctionalProvenanceRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.",,"relation_role","OrganicOrFunctionalProvenanceRelation","OrganicOrFunctionalProvenanceRelation",,"ReflexiveProperty",,"2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the OrganicOrFunctionalProvenanceRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies)."
"rico:organicProvenanceRelation_role","has the role of the Organic Provenance Relation","a le rôle de la Relation de provenance organique","desempeña el papel de la Relación de procedencia orgánica","Connects a OrganicProvenanceRelation to itself. It is a reflexive property, that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the OrganicProvenanceRelation class. It should be used only when you have to manage instances of the OrganicProvenanceRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.",,"organicOrFunctionalProvenanceRelation_role","OrganicProvenanceRelation","OrganicProvenanceRelation",,"ReflexiveProperty",,"2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the OrganicProvenanceRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies)."
"rico:overlapsOrOverlapped","overlaps or overlapped","chevauche ou a chevauché","se superpone o superponía con","Connects two Places that geographically overlap or overlapped. This relation is symmetric.",,"RiC-R078 ('overlaps or overlapped' relation)","isAssociatedWithPlace; isPlaceAssociatedWith","Place","Place",,"SymmetricProperty",,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Aligned with RiC-CM 1.0: updated the description (rdfs:comment)."
"rico:ownershipRelation_role","has the role of the Ownership Relation","a le rôle de la Relation de propriété","desempeña el papel de la Relación de posesión","Connects a OwnershipRelation to itself. It is a reflexive property, that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the OwnershipRelation class. It should be used only when you have to manage instances of the OwnershipRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.",,"authorityRelation_role","OwnershipRelation","OwnershipRelation",,"ReflexiveProperty",,"2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the OwnershipRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies)."
"rico:performanceRelation_role","has the role of the Performance Relation","a le rôle de la Relation entre activités et agents","desempeña el papel de la Relación de desarrollo funcional","Connects a PerformanceRelation to itself. It is a reflexive property, that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the PerformanceRelation class. It should be used only when you have to manage instances of the PerformanceRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.",,"eventRelation_role","PerformanceRelation","PerformanceRelation",,"ReflexiveProperty",,"2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the PerformanceRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies)."
"rico:performsOrPerformed","performs or performed","exerce ou a exercé","desarrolla o desarrollaba","Inverse of 'is or was performed by' object property.",,"RiC-R060i ('performs or performed' relation)","isOrWasParticipantIn","Agent","Activity","isOrWasPerformedBy",,"thingIsTargetOfRelation/performanceRelation_role/relationHasSource","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new performanceRelation_role object property."
"rico:placeRelation_role","has the role of the Place Relation","a le rôle de la Relation impliquant un lieu","desempeña el papel de la Relación con lugar","Connects a PlaceRelation to itself. It is a reflexive property, that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the PlaceRelation class. It should be used only when you have to manage instances of the PlaceRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.",,"relation_role","PlaceRelation","PlaceRelation",,"ReflexiveProperty",,"2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the PlaceRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies)."
"rico:positionHoldingRelation_role","has the role of the Position Holding Relation","a le rôle de la Relation entre une personne et un poste","desempeña el papel de la Relación de ocupación entre una persona y un puesto","Connects a PositionHoldingRelation to itself. It is a reflexive property, that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the PositionHoldingRelation class. It should be used only when you have to manage instances of the PositionHoldingRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.",,"agentToAgentRelation_role","PositionHoldingRelation","PositionHoldingRelation",,"ReflexiveProperty",,"2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the PositionHoldingRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies)."
"rico:positionIsContextOfLeadershipRelation","position is context of leadership relation","poste est le contexte de la relation de direction","puesto es contexto de relación de liderazgo","Connects a Position to a Leadership Relation (the leading Person occupies that Position).",,,"thingIsContextOfRelation","Position","LeadershipRelation","leadershipWithPosition",,,"2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Updated the labels."
"rico:positionIsContextOfMembershipRelation","position is context of membership relation","poste est le contexte de la relation d'appartenance","puesto es contexto de relación de membresía","Connects a Position to a Membership Relation (the member Person occupies that Position).",,,"thingIsContextOfRelation","Position","MembershipRelation","membershipWithPosition",,,"2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-12 : Updated the labels."
"rico:positionToGroupRelation_role","has the role of the Position to Group Relation","a le rôle de la Relation entre un poste et un groupe","desempeña el papel de la Relación de ocupación entre un grupo y un puesto","Connects a PositionToGroupRelation to itself. It is a reflexive property, that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the PositionToGroupRelation class. It should be used only when you have to manage instances of the PositionToGroupRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.",,"agentToAgentRelation_role","PositionToGroupRelation","PositionToGroupRelation",,"ReflexiveProperty",,"2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the PositionToGroupRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies)."
"rico:precededInSequence","preceded in sequence","a précédé dans la séquence","precedía secuencialmente a","Connects a Thing to a Thing that followed it in some non chronological sequence in the past.",,,"precedesOrPreceded","Thing","Thing","followedInSequence",,,"2023-09-08 : Object property added, along with its inverse property, in order to enable to express past sequential relations between things (the current sequential relations being also added, including a transitive one). | 2023-09-22 : Renamed the property and modified its definition (rdfs:comment) in order to better distinguish it from precedesInTime. | 2023-11-12 : Updated the labels. | 2023-11-27 : Added a new rdfs:label in Spanish."
"rico:precedesInSequenceTransitive","precedes in sequence transitive","précède dans la séquence transitif","precede secuencialmente a transitivo","Connects a Thing to a Thing that follows it directly or indirectly in some non chronological sequence. This is a transitive relation.",,,"precedesOrPreceded","Thing","Thing","followsInSequenceTransitive","TransitiveProperty",,"2023-09-08 : Object property added, along with its inverse property, in order to enable to express current, direct or indirect, sequential relations between things (the past sequential relation also being added). | 2023-09-22 : Renamed the property and modified its definition (rdfs:comment) in order to better distinguish it from precedesInTime. | 2023-11-12 : Updated the labels. | 2023-11-27 : Added a new rdfs:label in Spanish."
